name,type,url,recommended_style,tech_tags
Data Science interview questions by Krish Naik,Video,https://www.youtube.com/playlist?list=PLZoTAELRMXVPkl7oRvzyNnyj1HS4wt2K-,Visual,"Data Science, Beginners"
Data Science Tutorial for Beginners by Scaler Topics,Online Course,https://www.scaler.com/topics/data-science/,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Data Science at the Command Line by JeroJanssens,Article,https://datascienceatthecommandline.com/2e/,Reading/Writing,"Data Science, Beginners"
"Julia Data Science by Jose Storopoli, Rik Huijzer, Lazaro Alonso",Article,https://juliadatascience.io/,Reading/Writing,"Data Science, Beginners"
Super Data Science,Podcast,https://www.superdatascience.com/podcast/,Auditory,"Data Science, Beginners, Podcast"
The Data Science Podcast by IBM,Podcast,https://developer.ibm.com/podcasts/the-data-science-podcast/,Auditory,"Data Science, Beginners, Podcast"
Towards Data Science by The TDS team,Article,https://towardsdatascience.com/podcast/home,Reading/Writing,"Data Science, Beginners"
Data Science Tutorial for Beginners - Video Course by course by Yash Sinha Scaler Topics,Online Course,https://www.scaler.com/topics/course/python-for-data-science/,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
IBM Data Science Professional Certificate,Online Course,https://www.coursera.org/professional-certificates/ibm-data-science,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Python Data Science Handbook by Jake VanderPlas,Book,https://jakevdp.github.io/PythonDataScienceHandbook,Reading/Writing,"Data Science, Beginners"
Intro to Data Science by Udacity,Online Course,https://www.udacity.com/course/intro-to-data-science--ud359,"Visual,Auditory,Kinesthetic,Reading/Writing","Data Science, Beginners"
Applied Data Science with Python by CognitiveClass.ai,Video,https://www.youtube.com/watch?v=ua-CiDNNj30,Visual,"Data Science, Beginners"
Learn Data Science Tutorial - Full Course for Beginners by Barton Poulson,Video,https://www.youtube.com/watch?v=ua-CiDNNj30,Visual,"Data Science, Beginners"
Top 10 Data Science Projects for Beginners - KDnuggets,Article,https://www.kdnuggets.com/2021/06/top-10-data-science-projects-beginners.html,Reading/Writing,"Data Science, Beginners, Projects"
C++ Annotations by Frank B. Brokken,Article,https://fbb-git.gitlab.io/cppannotations,Reading/Writing,"C++, Beginner"
C++ Language,Article,http://www.cplusplus.com/doc/tutorial/,Reading/Writing,"C++, Beginner"
"C++ Programming by Panic, et al.",Article,https://en.wikibooks.org/wiki/C%2B%2B_Programming,Reading/Writing,"C++, Beginner"
C++ Tricks,Book,http://www.bordoon.com/cplusplus/book_wrapper.html,Reading/Writing,"C++, Beginner"
C++ Tutorial by Alex Allain,Book,https://www.cprogramming.com/tutorial/c++-tutorial.html,Reading/Writing,"C++, Beginner"
C++ Series by The Cherno,Video,https://www.youtube.com/playlist?list=PLlrATfBNZ98dudnM48yfGUldqGD0S4FFb,Visual,"C++, Beginner"
C++ Programming by Neso Academy,Video,https://www.youtube.com/playlist?list=PLBlnK6fEyqRh6isJ01MBnbNpV3ZsktSyS,Visual,"C++, Beginner"
C++ Programming by Kody Simpson,Video,https://www.youtube.com/playlist?list=PLfu_Bpi_zcDOtpXhhxL-P1wu0VkwNRXwC,Visual,"C++, Beginner"
C++ Tutorial by The Bad Tutorials,Video,https://www.youtube.com/playlist?list=PL_RGaFnxSHWoVZWSN-ze3VVtIfZfXwAGM,Visual,"C++, Beginner"
C++ Cheatsheet by CodeWithHarry,Book,https://www.codewithharry.com/blogpost/cpp-cheatsheet,Reading/Writing,"C++, Beginner"
C++ Tutorial by W3Schools,Online Course,https://www.w3schools.com/cpp,"Visual,Auditory,Kinesthetic,Reading/Writing","C++, Beginner"
C++ Tutorial by Scaler Topics,Online Course,https://www.scaler.com/topics/cpp/,"Visual,Auditory,Kinesthetic,Reading/Writing","C++, Beginner"
C++ Core Guidelines,Repository,https://github.com/isocpp/CppCoreGuidelines/blob/master/CppCoreGuidelines.md,"Visual,Auditory,Kinesthetic,Reading/Writing","C++, Beginner"
C++ For Programmers by JT Kalnay,Book,https://tfetimes.com/wp-content/uploads/2015/04/c-for-c-programmers.pdf,Reading/Writing,"C++, Beginner"
"C++ Succinctly, Syncfusion",Book,https://www.syncfusion.com/resources/techportal/ebooks/cplusplus,Reading/Writing,"C++, Beginner"
C++ Complete Course by Yan Chernikov,Video,https://www.youtube.com/playlist?list=PLlrATfBNZ98dudnM48yfGUldqGD0S4FFb,Visual,"C++, Beginner"
C++ Standard Library by Bo Qian,Video,https://www.youtube.com/playlist?list=PL5jc9xFGsL8G3y3ywuFSvOuNm3GjBwdkb,Visual,"C++, Beginner"
C++ For Programmers by Catherine Gamboa,Online Course,https://www.udacity.com/course/c-for-programmers--ud210,"Visual,Auditory,Kinesthetic,Reading/Writing","C++, Beginner"
C++ Quick Reference by Hooman Baradaran,Book,http://www.hoomanb.com/cs/quickref/CppQuickRef.pdf,Reading/Writing,"C++, Beginner"
C++ Programming Language by GeeksforGeeks,Article,https://www.geeksforgeeks.org/c-plus-plus/,Reading/Writing,"C++, Beginner"
C++ Notes for Professionals by Compiled from StackOverflow Documentation,Book,https://goalkicker.com/CPlusPlusBook,Reading/Writing,"C++, Beginner"
C++ Programming Video Lectures by Saurabh School of Computing,Video,https://www.youtube.com/playlist?list=PLTZbNwgO5ebo64D1k0DJQGX30X6iSTmRr,Visual,"C++, Beginner"
C++ STL by example by Douglas Schmidt,Video,https://www.youtube.com/playlist?list=PLZ9NgFYEMxp5oH3mrr4IlFBn03rjS-gN1,Visual,"C++, Beginner"
"C++ Compilation, Linking, and Makefiles by Amy Larson",Video,https://youtube.com/playlist?list=PLNUvpxaaFJ_i6BYqbxTVeK5AOcFzQbboQ,Visual,"C++, Beginner"
C++ Tutorial for Complete Beginners by John Purcell,Video,https://www.youtube.com/watch?v=vLnPwxZdW4Y,Visual,"C++, Beginner"
"C++ GUI Programming With Qt 3 by Jasmin Blanchette, Mark Summerfield",Book,https://ptgmedia.pearsoncmg.com/images/0131240722/downloads/blanchette_book.pdf,Reading/Writing,"C++, Beginner"
C++ Programming Course Beginner to Advanced by Daniel Gakwaya,Video,https://www.youtube.com/watch?v=8jLOx1hD3_o,Visual,"C++, Beginner"
C++ Tutorial for Beginners Full Course by Mike Dane,Video,https://www.youtube.com/watch?v=vLnPwxZdW4Y,Visual,"C++, Beginner"
C++ Programming Tutorial for Beginners (For Absolute Beginners) by ProgrammingKnowledge,Video,https://www.youtube.com/playlist?list=PLS1QulWo1RIYSyC6w2-rDssprPrEsgtVK,Visual,"C++, Beginner"
C++ Tutorial for Beginners Learn C++ in 1 Hour by Programming with Mosh,Video,https://www.youtube.com/watch?v=ZzaPdXTrSb8,Visual,"C++, Beginner"
C++ STL: The ONLY Video You Need | Compulsory for DSA/CP by Utkarsh Gupta,Video,https://www.youtube.com/watch?v=PZogbfU4X5E,Visual,"C++, Beginner"
"More C++ Idioms by Sumant Tambe, et al.",Book,https://en.wikibooks.org/wiki/More_C%2B%2B_Idioms,Reading/Writing,"C++, Beginner"
"Essential C++ by Krzysztof Kowalczyk, StackOverflow Contributors",Book,https://www.programming-books.io/essential/cpp/,Reading/Writing,"C++, Beginner"
Sololearn C++,Online Course,https://www.sololearn.com/en/,"Visual,Auditory,Kinesthetic,Reading/Writing","C++, Beginner"
CUDA C++ Programming guide by Nvidia,Book,https://docs.nvidia.com/cuda/pdf/CUDA_C_Programming_Guide.pdf,Reading/Writing,"Nvidia, C++, Beginner"
Google's C++ Course,Online Course,https://developers.google.com/edu/c++/,"Visual,Auditory,Kinesthetic,Reading/Writing","Google, C++, Beginner"
Google's C++ Style Guide,Book,https://google.github.io/styleguide/cppguide.html,Reading/Writing,"Google, C++, Beginner"
The Boost C++ libraries by Boris Schäling,Book,http://theboostcpplibraries.com/,Reading/Writing,"C++, Beginner"
TypeScript Accelerated by James Porter,Book,https://accelerated.amimetic.co.uk/,Reading/Writing,"TypeScript, Beginner"
TypeScript Accelerated by James Porter,Audio,https://s3.eu-west-2.amazonaws.com/elm-accelerated-downloads/ElmAcceleratedAudio.zip,Auditory,"TypeScript, Beginner"
TypeScript Handbook by Microsoft,Book,https://www.typescriptlang.org/assets/typescript-handbook.pdf,Reading/Writing,"TypeScript, Beginner"
